#cliente,principal component 1,principal component 2,y_predict_dataframe
C_1163,1.6134230029417842,-0.2847191249769418,2
C_1164,-2.0991186270172233,-0.812171477106347,7
C_1165,-0.4859126535524944,2.5531146245308367,1
C_1166,-1.474740478009266,-0.8722238410544971,3
C_1167,-1.2496356290345696,-1.5006397406518817,3
C_1168,1.8680866355859536,1.1896369273543026,6
C_1169,-0.31997298601495994,-0.09748234349415305,8
C_117,0.3463140017412925,0.5270956495818299,8
C_1170,-3.164207577267578,0.3656352873842039,4
C_1171,-1.5939982504602992,0.7787553719793775,9
C_1172,-1.986081163042343,0.41835083805575773,4
C_1173,0.3990377794251041,0.9831955485272462,1
C_1174,2.144507792483313,0.007194859176102409,2
C_1175,-2.453220139379304,0.5413964880794827,4
C_1176,-1.9995359715885397,0.4207930344189583,4
C_1177,0.12549830500381406,0.9521573167583394,1
C_1178,0.3807377899323693,-0.37740019016291293,8
C_1179,-0.8774685857249249,0.5717423351429886,9
C_118,-3.3853369362815537,0.9593211097963776,4
C_1180,-1.3858985629933236,-0.3002378375997107,3
C_1181,-3.7079192685396754,0.6780061713453627,4
C_1182,-1.745926409180949,0.15534733471677745,4
C_1183,1.4882835030583712,-0.4317444093526201,2
C_1184,-1.947598475582489,0.6057998619652236,4
C_1185,-1.5608533267611875,2.500608322436997,9
C_1186,1.5412289509470285,-0.5227031432381002,2
C_1187,-1.7887969586255534,-0.1143446314704131,3
C_1188,1.3452042031935132,-1.431022238737367,0
C_1189,-2.0011939409081694,0.8901164413425843,4
C_119,-2.896873973412336,0.11246906365214702,7
C_1190,-0.29349595560900205,0.9089634864637007,9
C_1191,2.0788093603584104,0.7195001082082154,6
C_1192,-0.08488521626095227,-0.17003190758278666,8
C_1193,-0.916603569178406,-0.8890482941689279,3
C_1194,-0.2878160812031441,-1.0203213130882551,0
C_1195,-0.9573551266979514,-1.0349783871194334,3
C_1196,-0.46523971078733156,-1.0923407588735226,3
C_1197,-1.3305607724345072,0.18919921693133415,9
C_1198,-1.9440386992580536,0.7602393624738035,4
C_1199,1.0685105581395455,-1.6609341897855894,0
C_12,-3.3034650266225145,-1.5529559303686855,7
C_120,-1.5790154332617257,-1.2817931786302754,3
C_1200,-1.6374015219571467,0.05177837587548621,3
C_1201,-2.7040508572497157,0.8716524003887702,4
C_1202,-0.7228172520109006,0.6461785529206646,9
C_1203,0.006794581849088323,0.06581665386642985,8
C_1204,-1.0838773864935975,0.03649039905155205,3
C_1205,-0.28553721695327455,-1.5794911976579389,0
C_1206,0.7699238267984099,-0.4549752024570714,8
C_1207,-0.3378315368380552,0.046859695206701045,8
C_1208,-1.679545521278275,0.2322095016167031,9
C_1209,-2.9322034741120713,1.1562437164692632,4
C_121,-1.1141218346398474,-0.9916425665678932,3
C_1210,-0.5025608794217051,0.16565881750193157,8
C_1211,-0.6359476929725568,-0.5589249842459777,3
C_1212,2.546514577312937,-0.4799027660945067,2
C_1213,-2.0936429202180595,-0.6810551478069629,7
C_1214,-0.6954185948644037,0.2181875308976668,9
C_1215,-0.23483249119682018,-1.7040602623312058,0
C_1216,0.5373541148427292,-0.7724967208539643,0
C_1218,-1.9441342016523644,-0.5021880847279592,3
C_1219,-1.7525649984067027,-0.3829513890365475,3
C_122,-1.974192380529949,-0.6072376869318539,3
C_1220,-3.436712414591024,-0.772379548124958,7
C_1221,0.22359176586805665,-1.4745194746184092,0
C_1222,0.11554718022976053,1.0066611005236925,1
C_1223,0.9377146552703924,-1.7628706140894816,0
C_1224,-1.9772454498023035,-0.22150422004355785,3
C_1225,0.07967261936356498,-2.6302473415066885,0
C_1226,-1.3769793005857978,-0.3359279132490003,3
C_1227,-1.4782048264640018,1.1806718774608513,9
C_1228,-0.7385538093466761,1.3182109781245217,9
C_1229,-1.9148781717668666,-0.8694366306970469,3
C_123,-2.357669407318675,-0.03468913754319581,7
C_1230,-1.8226153237200733,0.3293790222388945,4
C_1231,-0.6028006275891444,-1.5401475115439958,3
C_1232,-2.1205491554228675,0.9852210367848546,4
C_1233,-0.6813384069952917,-0.3905957674169783,3
C_1234,-1.8640601861128765,1.5300673223062942,4
C_1235,-3.779868075298509,-1.088624642069542,7
C_1236,-0.4595699729053596,-0.4241154529831682,8
C_1237,-2.4392149460869574,-1.0021741525751906,7
C_1238,-1.9558840377833777,1.1254653147518998,4
C_1239,-2.4618688290835653,1.0889096886753324,4
C_124,-0.6315335834033252,0.6421010966138301,9
C_1240,-2.4590667645403137,1.0876581370094767,4
C_1241,-0.7791238958424102,0.3242682550213341,9
C_1242,-1.5773628683142897,0.6374272564501696,9
C_1243,2.2040299450084064,-1.3134720245154727,5
C_1244,-2.343694526114425,-1.3919882694455186,7
C_1245,0.15166272621604487,-0.5504451821965851,8
C_1246,-1.9845461657365708,0.36103667130166234,4
C_1247,0.44340502605322046,-0.04502624492556717,8
C_1248,-0.5373903227324898,0.04471650433563296,8
C_1249,3.835775686559436,-3.400232267067392,5
C_125,-1.6957592326538986,1.1484677747952639,4
